gene_combination,gene_combination_unordered,TTN,LN_mean_relative,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,95_percentile_relative,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,TTN_normalized_relative,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,Genotype
Gsk3a_Inert_Inert_Gsk3b,Gsk3a_Gsk3b_Inert_Inert,185.0,76.17184734086061,73.00591831680731,85.60374762007882,222.47158020229824,27.772919547712775,0.0,0.0,66.05705216416781,65.88223201174743,70.9785088160453,134.15422095570588,33.92394198415234,0.0,0.0,0.984914316023496,1.0079007979579302,1.1129076001098532,2.242483712904314,0.6010419519720468,0.986,0.996,KTCas12a
Gsk3a_Inert_Inert_Inert,Gsk3a_Inert_Inert_Inert,1233.0,1.0633226529042794,1.0588082099018747,1.0622900684351575,1.2224969773027698,0.9248666086761564,0.4419999999999999,0.4720123456790123,1.0751309578695138,1.0495907363211612,1.053295309368486,1.4620613010038983,0.8281985906916607,0.732,0.7582994011976047,1.0541245112035256,1.0555531298308267,1.0626549841126611,1.329914679510909,0.8458321937556781,0.6459999999999999,0.8268382352941177,KTCas12a
Gsk3b_Gsk3a_Inert_Inert,Gsk3a_Gsk3b_Inert_Inert,761.0,55.45310059495922,56.03070688742911,57.59592066212713,93.8379289782188,32.8889662572607,0.0,0.0,69.54923424625562,69.3945444797879,72.51813638499955,108.40624361375664,53.83903274077352,0.0,0.0,1.273315480993465,1.2896361458409489,1.3084620304359735,1.841701697948853,0.8819933253787945,0.2159999999999999,0.3558857142857142,KTCas12a
Gsk3b_Inert_Gsk3a_Inert,Gsk3a_Gsk3b_Inert_Inert,961.0,35.63439351760401,35.27554738606663,36.21910762517414,52.83271500990876,24.329932366366847,0.0,0.0,53.1958949597763,50.91491939384582,50.89787740342699,68.31250363867514,34.75563518550632,0.0,0.0,1.339965152469032,1.3520199994780455,1.3789633422860237,1.9863707142750184,0.9759687804390216,0.08,0.1628235294117648,KTCas12a
Gsk3b_Inert_Inert_Gsk3a,Gsk3a_Gsk3b_Inert_Inert,281.0,33.98376593991035,32.990510707580206,36.48186851991195,78.0669247540596,14.53872906250693,0.0,0.0,49.208018685687016,49.39242354241339,56.79870521025882,139.0666304790883,24.46333972729362,0.0,0.0,0.9142252705191072,0.9040942937693892,0.9735718136629776,1.8551766303198896,0.5327527276630392,0.716,0.8662097902097902,KTCas12a
Gsk3b_Inert_Inert_Inert,Gsk3b_Inert_Inert_Inert,1303.0,1.7958289677151678,1.775203952315258,1.784893528038072,2.1875320656129444,1.4585330342323664,0.0,0.0,2.289931676097994,2.292533967976912,2.2875212782387,2.868766144282817,1.6998324978527546,0.0,0.0,0.942060519957609,0.9412572534159208,0.9483961079112864,1.1261475124203506,0.8049806098836254,0.506,0.6974920634920635,KTCas12a
Inert_Ccnl1_Ccnl2_Ccnl2,Ccnl1_Ccnl2_Ccnl2_Inert,265.0,0.5944252832441724,0.5918737055094256,0.5980090300203396,0.7119647666941634,0.5177165573560057,0.0,0.0,0.4598513555475839,0.4299641324762581,0.449991679613351,0.7763824365755472,0.3060717269363886,0.024,0.0346,0.5542519751367744,0.5553521605795879,0.5840445619667181,0.9443747143786764,0.3623092458576851,0.032,0.0718961038961039,KTCas12a
Inert_Ccnl1_Ccnl2_Inert,Ccnl1_Ccnl2_Inert_Inert,607.0,0.6938050905444224,0.6913111803693013,0.6938205275853091,0.7780687769188144,0.6218811012313895,0.0,0.0,0.6384155013849672,0.6305720674030499,0.6387853878680643,0.8393284212124402,0.4528999807696787,0.002,0.003326923076923,0.6463167457581213,0.6587594803304346,0.667733977723099,0.9586434775442902,0.4522136530943215,0.02,0.0473972602739726,KTCas12a
Inert_Ccnl1_Inert_Ccnl2,Ccnl1_Ccnl2_Inert_Inert,358.0,0.5874872567931971,0.5836969124325839,0.5874150107754667,0.6758853285346729,0.5232413848832744,0.0,0.0,0.426181922181313,0.4210440003904983,0.4323998454784717,0.6186460425636161,0.3164341409488367,0.0,0.0,0.5990104365251779,0.5996055145994633,0.6098372668587565,0.8516927333321499,0.439398602324261,0.008,0.021625,KTCas12a
Inert_Ccnl1_Inert_Inert,Ccnl1_Inert_Inert_Inert,1003.0,1.0027316853958064,1.0019190676859109,1.0050779464039374,1.1409249550165796,0.903123116174334,0.97,0.9756395348837208,0.977769037141757,0.9765428751273112,0.9832888329918664,1.1953627325614808,0.8056173343523338,0.772,0.7949761904761905,0.8215127309534858,0.8222630670141562,0.8356644248077949,1.0794487247062996,0.6691448352585156,0.154,0.2691111111111111,KTCas12a
