gene_combination_unordered,TTN,LN_mean_relative,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,95_percentile_relative,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,TTN_normalized_relative,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,Genotype
Rpa3_Rpa3_Rpa3_Inert,1938.0,0.5952713760272086,0.5944093967703936,0.5967176611399652,0.654589672020037,0.5520965887724031,0.0,0.0,0.4033720884006797,0.4008063913984917,0.4022404282009614,0.476512902069046,0.3361349661122889,0.0,0.0,0.3795788373676017,0.3795519575033271,0.3815934625645477,0.4473549730778399,0.3304648819700203,0.0,0.0,KTCas12a
Rpa3_Rpa3_Rpa3_Rpa3,503.0,0.5165101419186033,0.5180487985080307,0.517484037340442,0.5697859664466064,0.4625670970505283,0.0,0.0,0.3108585454709335,0.3130564716178693,0.3158677855612793,0.4028658328197749,0.2467603073157192,0.0,0.0,0.4178287069624691,0.4169505983472342,0.4217971822415783,0.5739829939192937,0.3094677515392223,0.0,0.0,KTCas12a
Rps9_Inert_Inert_Inert,10292.0,0.6899009743153669,0.6902571623820208,0.6916913926929976,0.7354086907503649,0.6529442047917958,0.0,0.0,0.588381636289255,0.5871504549572952,0.5912353974524709,0.673924197152931,0.529398294497709,0.0,0.0,0.477028073222824,0.4764529869975195,0.4763989943967425,0.5103352134025765,0.4443653636199604,0.0,0.0,KTCas12a
Rps9_Rps9_Inert_Inert,1790.0,0.6173373467616621,0.616636463882116,0.6184204698978263,0.6833749056701639,0.5651219195861797,0.0,0.0,0.5113273606150315,0.5018460000369966,0.5029888900121804,0.6363791894614185,0.3825614990865205,0.0,0.0,0.3181390785793813,0.3176714552522017,0.3184913049164629,0.3688766077364657,0.2764688143373431,0.0,0.0,KTCas12a
Rps9_Rps9_Rps9_Inert,1121.0,0.5656700278136015,0.5658262555258984,0.5671786926589488,0.629594623356848,0.5131357243414703,0.0,0.0,0.4103327651994004,0.4145614273955477,0.4174403131948381,0.5197218508177412,0.3355279321348196,0.0,0.0,0.1992368196019477,0.1995147557573041,0.1998167994198428,0.2306593583251688,0.1718282831656157,0.0,0.0,KTCas12a
Rps9_Rps9_Rps9_Rps9,254.0,0.699707574512534,0.6891204109395856,0.6989847099970953,0.8722661104502583,0.5768544306438456,0.008,0.0093023255813953,0.6198565705722416,0.5864209217465404,0.5981109824318256,1.0938066328554312,0.3461257250791732,0.092,0.1045454545454545,0.1502511929549357,0.1503805298351814,0.1516490973220057,0.1917630189328547,0.1176651315063867,0.0,0.0,KTCas12a
Setd2_Setd2_Setd2_Setd2,731.0,2.9932469936236163,2.9920476834733862,3.0131595210314512,3.8292488563566063,2.4162638824107394,0.0,0.0,3.85867782269576,3.841012800611302,3.8749372812262335,5.004506952341703,2.9310236299380583,0.0,0.0,0.984118796538668,0.989932693203018,1.0089653555552816,1.3963558972966854,0.7528945238404285,0.942,0.9812499999999998,KTCas12a
Ccnl1_Ccnl1_Ccnl2_Ccnl2,71.0,1.204895285571224,1.1700378969099012,1.193069689315223,1.6540683753738707,0.845457227258317,0.3740000000000001,0.998,1.3014262071224467,1.236842105263158,1.2478204138377604,2.5107123221497702,0.6349206349206349,0.6359999999999999,0.992,1.0,1.0114137796417442,1.0241866035134366,1.4623552353399352,0.6895029128647493,0.94,1.0,KT
Ccnl1_Ccnl1_Ccnl2_Inert,155.0,0.8918653897390278,0.8877983741352734,0.8956056988129808,1.1259168404191695,0.7175225191298165,0.292,0.998,0.7882721114942225,0.7727272727272728,0.8727139021313363,2.5772519375082945,0.4603449514297441,0.34,0.992,1.0,1.0135365776149,1.0215172886736226,1.3505919992791602,0.7603549687948341,0.926,1.0,KT
Ccnl1_Ccnl2_Ccnl2_Inert,135.0,0.93372763476622,0.924887371734467,0.9268105102118926,1.1151001768554225,0.7507056413641897,0.42,0.998,0.8731643384319837,0.8614910009949286,0.8573770958447383,1.255813953488372,0.4720348413276022,0.362,0.992,1.0,0.9991084715644224,1.0119226841921165,1.4311142892832354,0.6674735098973376,0.996,1.0,KT
